memberId	residentialState	branch	annualIncome	yearsEmployment	homeOwnership	incomeVerified	creditScore	dtiRatio	revolvingBalance	revolvingUtilizationRate	numDelinquency2Years	numDerogatoryRec	numInquiries6Mon	lengthCreditHistory	numOpenCreditLines	numTotalCreditLines	numChargeoff1year
100003	NJ	Newark	51569.76978	< 1 year	own	0	627	24.34651991	96219.39152	39.35308617	0	0	0	39	10	16	0
100063	KS	Overland Park	96294.08498	6-9 years	own	1	632	26.32596291	151190.4398	66.686024	1	3	2	16	14	16	1
100066	IA	Des Moines	106534.722	1 year	rent	1	678	17.88740094	160305.2455	52.92124706	3	6	6	13	9	9	2
100076	AR	Little Rock	72895.6564	1 year	mortgage	1	629	41.3290527	126606.8617	77.822584	0	0	7	3	7	13	0
100087	OH	Cleveland	83722.06747	1 year	rent	1	783	27.67590821	137015.3064	56.52367246	0	0	5	7	16	18	0
100089	MI	Detroit	108474.9206	6-9 years	rent	1	784	25.92593743	74393.99084	65.1576002	0	0	0	13	15	16	0
100100	CT	Bridgeport	74381.16678	2-5 years	own	0	624	27.14043843	92680.41326	50.10288031	11	3	0	6	9	18	11
100130	FL	Jacksonville	88100.21529	6-9 years	mortgage	0	787	14.19052314	91105.36166	56.69494865	0	0	0	13	8	14	0
100131	MI	Grand Rapids	81994.22087	1 year	own	1	874	6.553214815	131475.4344	50.36074664	0	0	3	6	4	8	0
100139	SD	Sioux Falls	69836.31868	10+ years	mortgage	1	767	21.95029581	95741.98767	54.69356253	0	4	0	11	8	12	0
100142	NY	New York City	103890.7834	6-9 years	mortgage	0	663	28.15326851	176923.2866	59.92084692	5	0	0	10	15	20	4
100152	KY	Louisville	79471.72394	2-5 years	mortgage	1	796	16.85513913	141088.664	51.91018181	0	0	0	2	13	15	0
100165	UT	Salt Lake City	34472.83486	< 1 year	own	1	732	28.4272801	108730.1994	43.69334759	0	0	0	22	9	11	0
100170	CT	Bridgeport	83220.82371	2-5 years	own	1	838	24.33014178	144411.3418	64.18257067	0	0	2	23	9	13	0
100175	DC	Washington															
100179	CA	San Jose	82984.62685	10+ years	mortgage	1	726	26.7407652	90673.24497	61.12204014	0	0	13	1	9	11	0
100216	ID	Boise	80100.473	1 year	own	1	732	21.89651908	132314.7995	61.44471338	2	8	9	5	4	7	1
100217	NM	Las Cruces	70583.52255	< 1 year	mortgage	1	680	24.46696342	109541.5887	55.00785551	0	0	0	22	9	10	0
100238	KS	Wichita	61539.66641	6-9 years	own	1	736	17.51110344	116843.0003	54.51307045	0	0	0	20	4	7	0
100253	NH	Manchester	80617.52881	10+ years	mortgage	1	739	36.39469456	110846.6044	54.49243711	0	0	5	8	7	8	0
100255	MA	Boston	86475.0642	< 1 year	own	1	584	34.5310931	175102.8408	57.91739766	4	0	0	14	21	25	2
100261	CA	San Diego	64033.61667	< 1 year	own	1	732	23.26117834	142635.7469	57.23766371	0	2	0	10	9	16	0
100268	WA	Seattle	102645.9998	6-9 years	mortgage	1	707	34.64912973	168625.4394	61.68042657	0	0	3	13	15	17	0
100285	NY	Rochester	112382.097	1 year	own	1	637	32.07537271	130910.974	44.78088317	0	2	3	26	18	19	0
100299	ND	Fargo	74367.83179	< 1 year	rent	1	719	26.40530789	114136.2855	70.20026706	1	0	2	6	10	18	1
100307	NE	Omaha	66218.85249	< 1 year	mortgage	1	589	21.06774729	69720.21396	46.42012815	0	1	4	12	16	17	0
100317	IA	Des Moines	68135.00105	10+ years	rent	1	633	29.25334979	104178.1759	71.46385759	0	4	0	5	17	19	0
100320	VT	Burlington	61715.51031	10+ years	own	0	788	13.95235158	117344.5501	56.85987103	0	0	0	28	12	18	0
100355	CA	San Diego	63441.81232	< 1 year	rent	0	599	29.817864	116280.6574	70.19175639	5	0	7	1	11	12	4
100360	FL	Miami	68276.82597	6-9 years	rent	1	749	29.28360137	115273.3872	54.57647114	0	0	0	8	12	13	0
100367	NH	Nashua	72811.69647	< 1 year	own	0	690	15.99285334	133408.8814	55.09604088	0	0	0	6	8	14	0
100370	WV	Charleston	90594.58029	10+ years	mortgage	1	698	27.15561967	83649.72014	55.52649044	0	1	2	7	16	18	0
100379	TX	San Antonio	83433.01637	10+ years	own	1	798	27.77686871	136941.8776	46.12833851	0	0	2	2	12	13	0
100381	NV	Reno	117961.4597	10+ years	mortgage	1	837	18.99220711	87757.90257	39.36002721	3	0	0	13	17	20	3
100385	FL	Miami	62231.28091	1 year	own	1	688	30.62825346	115986.5078	73.62754768	2	4	5	5	8	8	2
100389	MO	Kansas City	76674.81123	2-5 years	rent	1	685	29.32532785	126364.3902	65.10481416	0	0	5	16	7	9	0
100390	MS	Gulfport	74699.89767	< 1 year	rent	0	734	27.37157876	180977.9842	49.4718942	0	1	4	6	9	15	0
100399	MN	Saint Paul	92122.75606	2-5 years	mortgage	1	778	22.78785038	151608.1508	70.89491351	0	0	3	9	16	16	0
100408	FL	Tampa	83726.99457	6-9 years	mortgage	1	727	26.42040248	126234.8598	60.30561765	0	0	0	1	12	17	0
100429	MT	Billings	67281.7336	10+ years	mortgage	0	732	26.26595177	99960.94402	52.74215503	0	0	0	11	17	19	0
100440	VT	South Burlington	86567.68141	1 year	rent	1	737	28.17173003	118205.6279	47.58448245	0	0	9	2	11	12	0
100445	RI	Warwick	100250.9936	1 year	mortgage	1	681	26.75256933	156267.1247	42.22190763	0	3	0	12	8	16	0
100448	DC	Washington															
100453	NC	Raleigh	78302.25751	6-9 years	rent	1	632	26.31510075	133987.0842	69.74548975	6	8	6	1	11	15	3
100469	TX	Houston	111163.5964	10+ years	mortgage	1	673	24.70415315	129069.3497	32.10910679	0	2	0	18	13	15	0
100489	IL	Chicago	71828.62324	2-5 years	mortgage	1	760	22.36113319	117726.8631	90.99208842	0	0	0	14	11	15	0
100496	TX	Houston	78280.74225	6-9 years	own	0	728	27.79567843	92334.84335	54.61199617	0	0	2	5	12	19	0
100502	IN	Fort Wayne	102247.184	6-9 years	rent	1	847	19.24139031	187463.6007	43.07511121	0	0	4	7	10	14	0
100505	NE	Lincoln	62836.53118	< 1 year	rent	1	666	31.92959204	85408.28563	55.54582447	0	0	2	9	14	19	0
100506	NC	Charlotte	88829.4978	6-9 years	mortgage	1	812	22.83966919	119326.6911	75.08215417	0	1	0	2	15	19	0
100509	WA	Tacoma	73025.23448	2-5 years	own	1	654	23.43850088	178024.1235	63.50340202	3	0	0	25	8	13	3
100514	MT	Billings	73922.9232	< 1 year	own	0	577	35.90885739	118156.7491	72.49313717	0	0	3	12	4	8	0
100524	CA	Los Angeles	90184.80435	6-9 years	rent	0	599	38.1429079	123714.1498	54.54270426	12	0	1	11	8	9	8
100529	GA	Atlanta	62169.58546	1 year	mortgage	1	706	34.84728729	151191.8218	67.09438369	0	0	1	22	9	12	0
100543	MI	Detroit	75873.10399	< 1 year	own	0	715	26.536088	131598.1651	74.56928505	0	0	6	3	15	15	0
100547	TX	Dallas	75562.58911	6-9 years	own	0	758	28.86880345	140172.263	59.3015062	0	0	4	10	3	5	0
100565	AR	Little Rock	56671.6592	1 year	own	1	846	19.71963766	143964.6296	64.76836824	0	0	7	2	19	21	0
100573	DC	Washington															
100583	CA	San Jose	113541.6818	< 1 year	own	1	660	32.7885859	133029.3829	58.71742914	0	1	3	15	13	17	0
100593	RI	Cranston	95549.34526	10+ years	mortgage	1	723	25.57304033	141998.2323	58.65579819	2	0	0	16	5	9	2
100613	KS	Wichita	47289.18404	1 year	rent	1	909	25.73397209	141149.8942	58.61338839	0	0	0	7	14	19	0
100616	AL	Mobile	99481.46696	2-5 years	rent	1	732	26.35248024	112200.6656	65.32756713	12	2	0	15	11	13	9
100626	MT	Missoula	81002.74883	2-5 years	mortgage	1	726	22.36017483	159427.2491	50.7545973	0	3	10	1	9	11	0
100642	AR	Little Rock	105734.9833	2-5 years	rent	1	893	31.9986388	165938.8572	33.54595649	0	0	9	1	9	17	0
100647	PA	Allentown	115673.846	2-5 years	mortgage	1	889	35.6332015	148282.3166	48.35422622	0	0	0	1	13	22	0
100650	KY	Louisville	69757.04	< 1 year	rent	1	624	25.66605199	105615.1392	60.49642592	0	0	1	21	7	10	0
100692	KS	Wichita	54986.10219	< 1 year	own	0	746	25.06268286	92828.58699	45.73726074	0	1	0	10	19	22	0
100695	NJ	Newark	119170.0325	6-9 years	mortgage	1	596	35.88498639	125353.2707	57.43197747	7	11	0	15	15	18	5
100705	IL	Chicago	78438.75462	1 year	mortgage	1	784	23.31305852	143580.778	51.46673134	0	0	0	9	16	20	0
100713	ME	Portland	84159.82296	< 1 year	mortgage	1	657	14.0380194	116276.8816	43.6377898	2	9	0	21	10	18	1
100714	MD	Baltimore	100584.8009	1 year	mortgage	1	824	21.1267144	205801.3894	78.70295819	1	0	0	12	15	18	1
100719	CA	San Diego	99951.56561	1 year	rent	1	696	13.31190386	129987.6636	49.48299011	1	10	5	10	18	19	1
100720	AR	Little Rock	53294.40986	10+ years	own	0	823	8.203045166	133876.3656	68.7785875	0	0	0	13	11	12	0
100749	DE	Dover	66486.93428	10+ years	mortgage	0	667	21.56695436	115065.2617	85.06123078	8	0	0	8	11	12	4
100781	FL	Jacksonville	69131.23201	1 year	own	0	686	15.05199917	112025.9818	61.5055402	0	0	1	14	7	8	0
100783	KS	Wichita	46244.51102	< 1 year	rent	1	749	27.0414569	161690.8048	53.27527857	0	0	2	4	8	8	0
100786	SC	Columbia	94464.94352	1 year	own	1	621	28.94556167	145902.3025	40.62541402	0	2	4	17	12	20	0
100791	TX	Houston	74139.89592	1 year	rent	1	713	29.08594584	100376.2255	53.23396819	7	4	0	13	9	10	4
100797	WV	Charleston	71485.73233	10+ years	mortgage	1	695	27.05281755	75126.40984	40.906752	6	0	0	23	13	17	5
100805	ND	Fargo	85418.57656	10+ years	own	1	722	29.30931712	136306.7311	31.57190155	0	1	1	21	12	16	0
100821	PA	Allentown	74504.27994	10+ years	mortgage	1	812	29.83642885	121373.0753	65.26647801	0	0	1	37	12	15	0
100822	MN	Minneapolis	77813.03623	10+ years	mortgage	1	688	43.33430835	101144.8003	65.58286754	12	0	8	1	6	11	10
100828	UT	Salt Lake City	65785.33793	6-9 years	mortgage	1	785	35.56622158	164850.0072	53.77947031	0	0	0	4	5	9	0
100829	WA	Tacoma	96989.07424	10+ years	mortgage	0	663	34.11561137	156727.5892	20.59633129	0	0	1	4	11	19	0
100840	MN	Minneapolis	65103.37863	2-5 years	own	1	796	19.32095128	120702.4179	52.85138172	0	0	12	18	19	20	0
100853	CA	Los Angeles	86173.56192	1 year	own	1	763	14.91415631	118675.9882	37.95971676	3	0	0	13	10	15	3
100859	NY	New York City	111784.7797	10+ years	mortgage	0	687	29.43111401	137732.7785	58.39316444	0	0	0	4	10	13	0
100874	CO	Colorado Springs	97185.76633	6-9 years	mortgage	0	739	30.85863774	148077.3837	45.56841795	0	0	6	7	17	18	0
100887	NY	Buffalo	111792.8756	10+ years	mortgage	0	701	17.24812813	173762.5	66.6421353	0	1	7	15	11	16	0
100898	CA	Los Angeles	90842.00284	6-9 years	mortgage	1	713	21.12862746	100401.8316	40.7465038	8	0	10	21	8	10	6
100902	SD	Sioux Falls	56509.99533	1 year	mortgage	0	672	30.37884534	124813.6137	57.216638	0	0	0	16	9	12	0
100919	VT	South Burlington	88148.48808	< 1 year	mortgage	1	672	21.70170155	90593.90267	57.89656784	0	0	2	34	10	19	0
100923	TX	Houston	75770.19282	2-5 years	mortgage	1	605	24.94403438	133139.3167	41.65622921	3	5	0	10	12	14	2
100943	MA	Worcester	32715.01283	2-5 years	rent	1	743	20.28463123	99517.32033	68.33233392	3	0	0	3	14	17	2
100961	WA	Seattle	81076.38971	2-5 years	own	1	692	29.27754792	123349.4122	50.01862896	16	5	4	9	11	19	10
100965	IN	Indianapolis	108731.6399	1 year	mortgage	1	701	32.2361218	118073.9316	64.75350788	0	0	0	23	14	16	0
100969	MO	Kansas City	93996.34834	10+ years	mortgage	1	751	27.24701795	105826.7357	59.48581432	0	0	3	5	10	20	0
100978	SC	North Charleston	70449.95225	10+ years	rent	0	718	19.4367844	201701.4438	65.90019382	0	0	0	11	7	13	0
100996	DE	Dover	104468.0185	6-9 years	mortgage	1	801	20.12868097	188826.8105	51.54030123	0	5	0	3	6	11	0
101009	NV	Las Vegas	79795.05475	< 1 year	own	0	779	28.68865839	203696.6062	74.57777788	0	0	2	3	18	19	0
101029	WV	Charleston	82459.09147	2-5 years	mortgage	1	708	29.01019225	141543.8385	44.02667284	0	1	0	3	14	19	0
101032	MI	Grand Rapids	68725.39041	6-9 years	rent	1	772	18.96497324	138552.8506	48.57040318	0	0	0	9	10	12	0
101041	PA	Philadelphia	75814.86428	< 1 year	own	1	672	28.88470702	164632.2075	75.1620985	0	0	0	16	9	11	0
101079	MD	Baltimore	126310.3697	6-9 years	mortgage	1	772	25.58517317	164084.275	55.57725872	0	0	0	8	8	15	0
101085	NY	Buffalo	75274.71604	10+ years	mortgage	0	686	29.30293245	162215.7631	63.82044929	0	0	0	5	8	10	0
101122	WA	Seattle	94246.31795	6-9 years	mortgage	1	723	29.19018688	123004.8345	52.89013251	0	1	0	31	12	12	0
101123	MO	Saint Louis	64884.12482	1 year	own	0	582	31.67756374	169307.9469	62.50437214	0	0	0	8	6	7	0
101137	KS	Wichita	73311.94757	1 year	mortgage	0	769	21.63595226	118854.4638	71.88252025	0	0	1	15	18	22	0
101153	LA	New Orleans	63363.49889	10+ years	mortgage	1	714	19.15358079	86736.70232	85.40872886	0	7	1	14	11	17	0
101156	NJ	Newark	68868.75553	< 1 year	own	1	711	32.77106049	151180.5649	65.46787168	0	0	0	7	9	17	0
101179	TN	Nashville	93403.67969	10+ years	rent	0	714	32.53211684	155677.94	45.07914955	0	0	4	17	7	8	0
101209	NV	Reno	106661.3389	< 1 year	rent	1	757	27.39019786	143933.5148	64.76808327	1	0	0	11	8	13	1
101210	FL	Jacksonville	90690.79757	< 1 year	mortgage	1	647	26.63087226	126547.7575	56.36233302	0	4	11	41	10	18	0
101214	DC	Washington															
101221	RI	Cranston	109443.5257	1 year	mortgage	0	683	36.9726745	156967.4464	45.88821237	0	0	0	19	10	16	0
101231	NH	Nashua	49402.0509	1 year	own	0	657	31.1725052	116989.1878	52.45567337	0	0	1	4	12	14	0
101249	WA	Seattle	68911.11837	1 year	mortgage	0	683	20.34511063	120460.5143	72.24316131	5	0	5	1	6	10	4
101251	WI	Madison	64903.64333	1 year	own	1	769	32.33693342	124015.5058	56.13496665	0	0	2	9	20	29	0
101253	TN	Memphis	75635.47773	6-9 years	mortgage	1	695	15.19879606	113661.9523	68.17685373	6	0	1	6	15	18	3
101255	WA	Spokane	72299.71191	10+ years	own	1	761	26.19408449	79509.9886	45.71806572	0	0	0	11	15	16	0
101258	RI	Cranston	72687.16954	< 1 year	rent	1	743	30.40611638	143084.2259	52.30130429	0	0	4	26	8	9	0
101273	TN	Nashville	51404.50526	< 1 year	rent	1	668	23.58287532	138113.5583	69.35010442	0	4	0	2	11	16	0
101280	NY	New York City	98524.46494	6-9 years	rent	1	756	18.36218826	186412.0792	48.21224558	10	0	0	9	7	9	7
101284	KS	Wichita	90452.87893	6-9 years	mortgage	0	587	24.75048201	131252.0313	43.28452747	0	0	0	21	10	12	0
101287	DC	Washington															
101289	WA	Tacoma	81478.20286	< 1 year	own	0	880	26.3922548	37102.68353	48.57320257	0	14	0	17	9	18	0
101297	NM	Albuquerque	94774.79315	6-9 years	mortgage	1	836	30.25531171	138671.6258	55.93346939	0	0	5	4	14	20	0
101303	PA	Allentown	106679.3036	6-9 years	mortgage	1	896	18.15847763	219273.2234	45.34956683	0	0	1	18	14	14	0
101306	DC	Washington															
