"loanId"|"loan_open_date"|"memberId"|"loanAmount"|"interestRate"|"grade"|"term"|"installment"|"isJointApplication"|"purpose"
60898|2015-08-12|100003|26782.8256911488|1.72068397257924|3|48|557.975535232267|0|"debtconsolidation"
19684|2014-11-12|100063|35871.4131409496|1.87681247365531|1|60|597.856885682493|0|"debtconsolidation"
76153|2016-05-12|100066|23172.0756333316|2.29362330391737|1|36|643.668767592544|0|"business"
72564|2016-11-12|100076|25117.6927221866|1.97318977615583|2|48|523.285265045555|0|"debtconsolidation"
55495|2014-07-12|100087|26793.8947582793|1.63522371066051|1|48|558.206140797485|0|"debtconsolidation"
51727|2014-08-12|100089|31102.757653338|1.65688207778398|2|60|518.3792942223|0|"debtconsolidation"
61347|2014-10-12|100100|16337.4174805824|1.87300344869043|1|48|340.362864178799|0|"homeimprovement"
95336|2015-11-12|100130|23366.918014023|1.60708831332829|3|60|389.44863356705|0|"debtconsolidation"
87358|2017-04-12|100131|16718.097641176|1.72946218247921|1|48|348.293700857833|0|"debtconsolidation"
70736|2015-01-12|100139|25739.8128690596|1.98898512641858|3|36|714.994801918322|0|"homeimprovement"
75371|2015-06-12|100142|21561.7508615019|1.47276192789183|2|60|359.362514358365|0|"debtconsolidation"
73566|2014-12-12|100152|31516.3025633862|1.69890432327056|2|36|875.452848982951|0|"business"
77436|2016-09-12|100165|14251.065595976|1.44371676818757|1|36|395.862933221555|0|"debtconsolidation"
53542|2015-01-12|100170|39495.1782323409|2.0782922261947|3|36|1097.08828423169|0|"debtconsolidation"
32016|2016-10-12|100175|16519.6678195653|1.69377385803472|1|48|344.159746240944|1|"business"
54680|2014-10-12|100179|34772.5252785811|1.58066576480498|4|60|579.542087976352|1|"debtconsolidation"
37890|2014-06-12|100216|23220.4848904947|1.28187672086077|1|48|483.760101885306|0|"auto"
61606|2014-09-12|100217|36609.7413755769|1.97269479879144|2|36|1016.93726043269|0|"homeimprovement"
10894|2014-10-12|100238|22269.1496259629|1.55076591547736|1|60|371.152493766048|0|"debtconsolidation"
56120|2017-01-12|100253|24768.5865387926|1.83185588801078|2|48|516.012219558178|0|"other"
75402|2015-09-12|100255|19656.1934728699|1.81191477385579|3|60|327.603224547831|0|"debtconsolidation"
77578|2015-01-12|100261|16243.6128175575|2.29952981603646|3|48|338.408600365781|0|"debtconsolidation"
20035|2015-02-12|100268|23184.163509332|1.19958607699671|2|60|386.402725155533|0|"debtconsolidation"
31597|2017-04-12|100285|23928.3837425059|2.02261477045178|2|36|664.677326180719|0|"debtconsolidation"
46828|2016-10-12|100299|25101.8083704624|1.92071000525336|2|36|697.272454735067|0|"debtconsolidation"
50983|2014-07-12|100307|27619.8566485128|2.39823372638543|2|36|767.218240236466|0|"homeimprovement"
63854|2016-10-12|100317|24268.1519735008|1.93972221963187|3|60|404.469199558346|0|"homeimprovement"
95616|2017-05-12|100320|21563.7208079405|1.42511263592598|1|60|359.395346799008|0|"education"
54635|2016-08-12|100355|25108.6028568128|1.96737195027774|1|60|418.476714280213|0|"debtconsolidation"
53623|2016-01-12|100360|22364.5968907004|1.7506925162632|2|60|372.743281511673|0|"debtconsolidation"
56347|2015-10-12|100367|30632.5323287651|1.43790529365153|2|60|510.542205479418|0|"debtconsolidation"
89533|2015-08-12|100370|39116.6829450379|1.36814902770898|2|36|1086.57452625105|0|"auto"
72736|2016-11-12|100379|31381.1428364225|1.39102227069234|1|48|653.773809092136|0|"debtconsolidation"
82068|2016-08-12|100381|15454.8739155476|1.52628068606937|1|60|257.581231925793|0|"other"
91411|2017-04-12|100385|36905.1387153699|1.98599664912211|4|36|1025.14274209361|0|"debtconsolidation"
74285|2014-07-12|100389|26773.0601683079|1.71126118527826|4|60|446.217669471799|1|"debtconsolidation"
32939|2015-06-12|100390|24015.861338919|2.14739552697517|1|60|400.264355648651|0|"debtconsolidation"
